title;author;rating;votes;url;page
"Ярослава Раскольникова — Исчезнувшая магия";"";"";"";"https://fantasy-worlds.org/lib/id38716/";"11"
"Коллектив авторов — Рождество в Российской империи (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38715/";"11"
"Марго Генер — Хэллоуинская история в академии магии";"";"";"";"https://fantasy-worlds.org/lib/id38714/";"12"
"Коллектив авторов — Фонарь Джека. 31 история для темных вечеров (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38713/";"12"
"Александра Лавалье — Яд, порох, дамский пистолет";"";"";"";"https://fantasy-worlds.org/lib/id38712/";"12"
"Ким Хёнсу — Верни мне время";"";"";"";"https://fantasy-worlds.org/lib/id38711/";"12"
"Анна Кейв — Дублер";"";"";"";"https://fantasy-worlds.org/lib/id38710/";"12"
"Дмитрий Колодан — Пересмешник на рассвете. Книга 2";"";"";"";"https://fantasy-worlds.org/lib/id38709/";"12"
"Дмитрий Колодан — Пересмешник на рассвете. Книга 1";"";"";"";"https://fantasy-worlds.org/lib/id38708/";"12"
"Maginot — Она и зверь. Том 2";"";"";"";"https://fantasy-worlds.org/lib/id38707/";"12"
"Maginot — Она и зверь. Том 1";"";"";"";"https://fantasy-worlds.org/lib/id38706/";"12"
"Аня Вагнер — Феи в Дублине!";"";"";"";"https://fantasy-worlds.org/lib/id38705/";"12"
"Рико Сакураи — Две хризантемы";"";"";"";"https://fantasy-worlds.org/lib/id38704/";"12"
"Рут Ральф — Не убежишь!";"";"";"";"https://fantasy-worlds.org/lib/id38703/";"12"
"Хейфорд Пирс — Искра Жизни";"";"";"";"https://fantasy-worlds.org/lib/id38702/";"12"
"Джиён Кан — Как повзрослеть, не умерев";"";"";"";"https://fantasy-worlds.org/lib/id38701/";"12"
"Риэ Кудан — Симпати Тауэр Токио";"";"";"";"https://fantasy-worlds.org/lib/id38700/";"12"
"Аттила Вереш — Восстанавливая реальность (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38609/";"19"
"Spice&amp;Kitty — Как переманить мужа на свою сторону. Книга 1";"";"";"";"https://fantasy-worlds.org/lib/id38608/";"19"
"Нина Георге — Безумный Оракул";"";"";"";"https://fantasy-worlds.org/lib/id38607/";"19"
"Алекс Феби — Город Госпожи Забвения";"";"";"";"https://fantasy-worlds.org/lib/id38606/";"19"
"Яцек Дукай — Король боли (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38605/";"19"
"Алекс Астер — Ночной палач";"";"";"";"https://fantasy-worlds.org/lib/id38604/";"19"
"Майкл Фэррис Смит — Голоса темной долины";"";"";"";"https://fantasy-worlds.org/lib/id38603/";"19"
"Митч Элбом — Хранитель времени (перевод Екатерины Косаревой)";"";"";"";"https://fantasy-worlds.org/lib/id38602/";"19"
"Митч Элбом — Пятеро, что ждут тебя на небесах";"";"";"";"https://fantasy-worlds.org/lib/id38601/";"19"
"Татьяна Дыбовская — Копия неверна";"";"";"";"https://fantasy-worlds.org/lib/id38600/";"19"
"Митч Элбом — Хранитель времени (перевод Анны Шульгат)";"";"";"";"https://fantasy-worlds.org/lib/id38599/";"19"
"Даниэль Колуззи — Меня зовут Персефона";"";"";"";"https://fantasy-worlds.org/lib/id38598/";"19"
"Маргарита Блинова — Василиса Предерзкая";"";"";"";"https://fantasy-worlds.org/lib/id38597/";"19"
"Джин Вулф — Эпифания Длинного Солнца (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38596/";"19"
"Александрия Уорвик — Северный ветер";"";"";"";"https://fantasy-worlds.org/lib/id38595/";"19"
"Кейтлин Розакис — Я, ужасающий";"";"";"";"https://fantasy-worlds.org/lib/id38624/";"18"
"Priest — Усмиритель душ. Том 2";"";"";"";"https://fantasy-worlds.org/lib/id38623/";"18"
"Ирис Эрлинг — Слезы князя слаще сахара";"";"";"";"https://fantasy-worlds.org/lib/id38622/";"18"
"Коллектив авторов — Поддайся искушению (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38621/";"18"
"Дмитрий Александров — Остроумов";"";"";"";"https://fantasy-worlds.org/lib/id38620/";"18"
"Дэвид Веллингтон — Ревенант-Х";"";"";"";"https://fantasy-worlds.org/lib/id38619/";"18"
"Ксения Левонесова — Край заблудших";"";"";"";"https://fantasy-worlds.org/lib/id38618/";"18"
"Лидия Миленина — Отбор драконов для серой мышки";"";"";"";"https://fantasy-worlds.org/lib/id38617/";"18"
"Ксения Левонесова — Кольцо желаний";"";"";"";"https://fantasy-worlds.org/lib/id38616/";"18"
"Владимир Лебедев — Операция «Пропавшие»";"";"";"";"https://fantasy-worlds.org/lib/id38615/";"18"
"Брайан Герберт — Увидевший Дюну";"";"";"";"https://fantasy-worlds.org/lib/id38614/";"18"
"Эвелин Бризу-Пеллен — Тайна Карты вечности";"";"";"";"https://fantasy-worlds.org/lib/id38613/";"18"
"Анхель Блэк — Падение Луны";"";"";"";"https://fantasy-worlds.org/lib/id38612/";"18"
"Наталья Алексина — Ведьмина лавка";"";"";"";"https://fantasy-worlds.org/lib/id38611/";"18"
"Коллектив авторов — Самая страшная книга 2026 (сборник)";"";"";"";"https://fantasy-worlds.org/lib/id38610/";"18"
"Диана Билык — Ректор моей мечты. Книга 2";"";"";"";"https://fantasy-worlds.org/lib/id38654/";"16"
